"TI";"AU";"AB";"TC";"UT";"PY";"topic";"p";"n"
"Functional diversity and community structure of microorganisms in
   uncontaminated and creosote-contaminated soils as determined by
   sole-carbon-source-utilization";"Derry, AM
   Staddon, WJ
   Trevors, JT";"Functional diversifies of microorganisms from uncontaminated and creosote-contaminated soils were assessed using sole-carbon Source-utilization patterns. The microorganisms were extracted from soil samples and inoculated into Gram-negative Biolog plates incubated at 23 degrees C. Measurement of Shannon diversity, richness, and evenness indices, principal component analysis (PCA), and colour development rank (CDR) plots were based upon substrate utilization. Calculations incorporated data from both the 95 regular Gram-negative Biolog microplate wells and a selection of 23 carbon substrates that are included on Biolog Ecoplates. There did not appear to be significant differences in Shannon diversity and richness indices, PCA, or CDR plots between uncontaminated and creosote-contaminated soils. Significant differences in Shannon diversity and evenness indices that were apparent with the use of the 23 ecologically relevant microplate wells were mostly absent based on calculations that incorporated the regular 95 Gram-negative Biolog microplate wells. Resolution of microbial communities by PCA, however, appeared to be reduced by the use of the 23 Biolog microplate wells compared to the regular 95 carbon sources.";"36";"WOS:000076514800014";1998;"communiti, microbi, dri, abund, group";0.861654771462053;89
"Assessing the chemical and biological accessibility of the herbicide
   isoproturon in soil amended with biochar";"Sopena, F
   Semple, K
   Sohi, S
   Bending, G";"There is considerable current interest in using biochar (BC) as a soil amendment to sequester carbon to mitigate climate change. However, the implications of adding BC to agricultural soil for the environmental fate of pesticides remain unclear. In particular, the effect of biochars on desorption behavior of compounds is poorly understood. This study examined the influence of BC on pesticide chemical and biological accessibility using the herbicide isoproturon (IPU). Soils amended with 1% and 2% BC showed enhanced sorption, slower desorption, and reduced biodegradation of IPU. Addition of 0.1% BC had no effect on sorption, desorption or biodegradation of IPU. However, the mineralization of C-14-IPU was reduced by all BC concentrations, reducing by 13.6%, 40.1% and 49.8% at BC concentrations of 0.1%, 1% and 2% respectively. Further, the ratio of the toxic metabolite 4-isopropyl-aniline to intact IPU was substantially reduced by higher BC concentrations. Hydroxypropyl-beta-cyclodextrin (HPCD) extractions were used to estimate the IPU bioaccessibility in the BC-amended soil. Significant correlations were found between HPCD-extracted C-14-IPU and the IPU desorbed (%) (r(2) = 0.8518, p < 0.01), and also the C-14-IPU mineralized (%) (r(2) = 0.733; p < 0.01) for all BC-amended soils. This study clearly demonstrates how desorption in the presence of BC is intimately related to pesticide biodegradation by the indigenous soil microbiota. BC application to agricultural soils can affect the persistence of pesticides as well as the fate of their degradation products. This has important implications for the effectiveness of pesticides as well as the sequestration of contaminants in soils. (C) 2012 Elsevier Ltd. All rights reserved.";"28";"WOS:000304235700011";2012;"biochar, amend, pyrolysi, feedstock, incub";0.858724541600506;360
"Regional integration of renewable energy systems in Ireland - The role
   of hybrid energy systems for small communities";"Goodbody, C
   Walsh, E
   McDonnell, KP
   Owende, P";"Due to a lack of indigenous fossil energy resources, Ireland's energy supply constantly teeters on the brink of political, geopolitical, and geographical unease. The potential risk to the security of the energy supply combined with the contribution of anthropogenic greenhouse gas emissions to climate change gives a clear indication of Ireland's need to reduce dependency on imported fossil fuels as primary energy source. A feasibility analysis to investigate the available renewable energy options was conducted using HOMER software. The net present cost, the cost of energy, and the CO2 emissions of each potential energy combination were considered in determining the most suitable renewable and non-renewable hybrid energy system. Wind energy was shown to have the greatest potential for renewable energy generation in Ireland: wind energy was a component of the majority of the optimal hybrid systems both in stand-alone and grid-connected systems. In 2010 the contribution of wind energy to gross electricity consumption in Ireland approximated 10%, and the results of this feasibility study indicate that there is great potential for wind-generated energy production in Ireland. Due to the inherent variability of wind energy the grid-connected system results are particularly relevant, which show that in more than half of the analyses investigating electrical energy demand the incorporation of wind energy offset the CO2 emissions of the non-renewable elements to such a degree that the whole system had negative CO2 emissions, which has serious implications for Kyoto Protocol emissions limits. Ireland also has significant potential for hydropower generation despite only accounting for 2% of the gross electricity consumption in 2010. Wind and hydro energy should therefore be thoroughly explored to secure an indigenous primary energy source in Ireland. (C) 2012 Elsevier Ltd. All rights reserved.";"21";"WOS:000311864800079";2013;"energi, technolog, captur, ccs, power";0.854961952811594;249
"Biochar influences on agricultural soils, crop production, and the
   environment: A review";"Ahmed, A
   Kurian, J
   Raghavan, V";"Given its high pore volume and adsorption capacity, and when applied as an agricultural soil amendment, its ability to enhance the soil's nutrient-and water-holding capacities, biochar has become a focus of research interest. In most applications, crop productivity is significantly increased after agricultural soils are amended with biochar. In addition to increasing soil quality, the biochar amendments sequester carbon within the soil. However, the long-term effects of amending agricultural soils with biochar are difficult to predict, because the mechanisms behind the increase in productivity of biochar amended soils are not yet fully understood. Long-term detrimental effects on soil and the environment can occur if biochar is applied haphazardly. Current knowledge and the additional experimental work required to thoroughly understand the influence of biochar amendment on the behavior of agricultural soils processes are reviewed. Further, studies on the post production processing of biochar are discussed in the context of the possible engineering of biochar for particular states of soil degradation.";"0";"WOS:000388735900010";2016;"biochar, amend, pyrolysi, feedstock, incub";0.854918779125986;360
"Seagrass Restoration Enhances \"Blue Carbon\" Sequestration in Coastal
   Waters";"Greiner, JT
   McGlathery, KJ
   Gunnell, J
   McKee, BA";"Seagrass meadows are highly productive habitats that provide important ecosystem services in the coastal zone, including carbon and nutrient sequestration. Organic carbon in seagrass sediment, known as \"blue carbon,\" accumulates from both in situ production and sedimentation of particulate carbon from the water column. Using a large-scale restoration (>1700 ha) in the Virginia coastal bays as a model system, we evaluated the role of seagrass, Zostera marina, restoration in carbon storage in sediments of shallow coastal ecosystems. Sediments of replicate seagrass meadows representing different age treatments (as time since seeding: 0, 4, and 10 years), were analyzed for % carbon, % nitrogen, bulk density, organic matter content, and Pb-210 for dating at 1-cm increments to a depth of 10 cm. Sediment nutrient and organic content, and carbon accumulation rates were higher in 10-year seagrass meadows relative to 4-year and bare sediment. These differences were consistent with higher shoot density in the older meadow. Carbon accumulation rates determined for the 10-year restored seagrass meadows were 36.68 g C m(-2) yr(-1). Within 12 years of seeding, the restored seagrass meadows are expected to accumulate carbon at a rate that is comparable to measured ranges in natural seagrass meadows. This the first study to provide evidence of the potential of seagrass habitat restoration to enhance carbon sequestration in the coastal zone.";"19";"WOS:000323221500133";2013;"servic, restor, mangrov, coastal, habitat";0.854489434742948;133
"Charcoal Application to Arable Soil: Effects on CO2 Emissions";"Carlsson, M
   Andren, O
   Stenstrom, J
   Kirchmann, H
   Katterer, T";"Activated carbon and commercial household charcoal were added to soil in a 36-day incubation study at 20 degrees C measuring carbon dioxide evolution. The black carbon materials were found to decompose slowly, releasing between 1.4% and 0.8% of their carbon content per year, respectively. The main experiment tested whether the black carbon additions to soil (2% and 4% by mass) affected decomposition of selected substrates in soil, both respiration dynamics and total respiration. The results indicated that the black carbon materials tested had no effect on total respiration from added glucose. However, decomposition rates of amylose, xylan, casein, and ryegrass were reduced in soil with addition of activated carbon but were not significantly affected by household charcoal. A larger surface area of activated carbon than that of household charcoal, and thus a greater adsorption capacity for organic compounds and exo-enzymes required to break down water-insoluble substrates, may explain the results.";"4";"WOS:000308019600007";2012;"degre, stabil, char, charcoal, decomposit";0.840302444578757;92
"Deep ploughing increases agricultural soil organic matter stocks";"Alcantara, V
   Don, A
   Well, R
   Nieder, R";"Subsoils play an important role within the global C cycle, since they have high soil organic carbon (SOC) storage capacity due to generally low SOC concentrations. However, measures for enhancing SOC storage commonly focus on topsoils. This study assessed the long-term storage and stability of SOC in topsoils buried in arable subsoils by deep ploughing, a globally applied method for breaking up hard pans and improving soil structure to optimize crop growing conditions. One effect of deep ploughing is translocation of SOC formed near the surface into the subsoil, with concomitant mixing of SOC-poor subsoil material into the new' topsoil. Deep-ploughed croplands represent unique long-term insitu incubations of SOC-rich material in subsoils. In this study, we sampled five loamy and five sandy soils that were ploughed to 55-90cm depth 35-50years ago. Adjacent, similarly managed but conventionally ploughed subplots were sampled as reference. The deep-ploughed soils contained on average 42 +/- 13% more SOC than the reference subplots. On average, 45years after deep ploughing, the new' topsoil still contained 15% less SOC than the reference topsoil, indicating long-term SOC accumulation potential in the topsoil. In vitro incubation experiments on the buried sandy soils revealed 63 +/- 6% lower potential SOC mineralisation rates and also 67 +/- 2% lower SOC mineralisation per unit SOC in the buried topsoils than in the reference topsoils. Wider C/N ratio in the buried sandy topsoils than in the reference topsoils indicates that deep ploughing preserved SOC. The SOC mineralisation per unit SOC in the buried loamy topsoils was not significantly different from that in the reference topsoils. However, 56 +/- 4% of the initial SOC was preserved in the buried topsoils. It can be concluded that deep ploughing contributes to SOC sequestration by enlarging the storage space for SOC-rich material.";"0";"WOS:000380016800024";2016;"soc, grassland, stock, cropland, china";0.837165866233695;257
"Mangrove biomass carbon stock mapping of the Karimunjawa Islands using
   multispectral remote sensing";"Wicaksono, P
   Danoedoro, P
   Hartono
   Nehren, U";"Among vegetated coastal habitats, mangrove forests are among the densest carbon pools. They store their organic carbon in the surrounding soil and thus the sequestered carbon stays in the sediment for a long time and cannot be easily returned to the atmosphere. Additionally, mangroves also provide various important ecosystem services in coastal areas and surroundings. Accordingly, it is important to understand the distribution of biomass carbon stock in mangrove habitats in a spatial and temporal context, not only to reduce CO2 concentrations in the atmosphere, but also for their sustainability. The objectives of this research are to map the mangrove carbon stock and estimate the total biomass carbon stock sheltered by mangrove forests, with the Karimunjawa Islands as a study site, using the widely available passive remote sensing system ALOS AVNIR-2. The modelling and mapping of mangrove carbon stock incorporates the integration of image pixel values and mangroves field data via empirical modelling. Vegetation indices and PC bands at different levels of radiometric corrections were all used as the input in the mangrove carbon stock modelling so that the effectiveness and sensitivity of different image transformations to particular radiometric correction levels could be analysed and understood. Afterward, the accuracy and effectiveness of each mangrove carbon stock-mapping routine was compared and evaluated. The accuracy of the best mangrove above-ground carbon stock (AGC) map modelled from vegetation index is 77.1% (EVI1, SE 5.89 kg C m(-2)), and for mangrove below-ground carbon stock (BGC) it is 60.0% (GEMI, SE 2.54 kg C m(-2)). The mangrove carbon stock map from ALOS AVNIR-2 PC bands showed a maximum accuracy of 77.8% (PC2, SE 5.71 kg C m(-2)) and 60.8% (PC2, SE 2.48 kg C m(-2)) for AGC and BGC respectively. From the resulting maps, the Karimunjawa Islands are estimated to shelter 96,482 tonnes C of mangroves AGC with a mean value of 21.64 kg C m(-2) and 24,064 tonnes C of mangroves BGC with a mean value of 5.39 kg C m(-2). Potentially, there are approximately 120,546 tonnes C of mangrove biomass carbon stock in the Karimunjawa Islands. Remote-sensing reflectance can successfully model mangrove carbon stock based on the relationship between mangrove canopy properties, represented by leaf area index (LAI) and the tree or root biomass carbon stock. The accuracy of the mangrove carbon stock map is subject to errors, which are sourced mainly from: (1) the absence of a species-specific biomass allometric equation for several species present in the study area; (2) the generalized standard conversion value of mangrove biomass to mangrove carbon stock; (3) the relationship between mangrove reflectance and mangrove LAI; (4) the relationship between mangrove reflectance and above-ground mangrove biomass and carbon stock due to its relationship with LAI; (5) the relationship between mangrove LAI and mangrove below-ground parts; (6) the inability to perform mangrove carbon stock modelling at the species level due to the complexities of the mangrove forest in the study area; (7) background reflectance and atmospheric path radiance that could not be completely minimized using image radiometric corrections and transformations; and (8) spatial displacement between the actual location of the mangrove forest in the field and the corresponding pixel in the image.
   The availability of mangrove biomass carbon stock maps is beneficial for carrying out various management activities, and is also very important for the resilience of mangroves to changing environments.";"1";"WOS:000367156000003";2016;"servic, restor, mangrov, coastal, habitat";0.83656523287725;133
"Environmental factors controlling soil organic carbon storage in loess
   soils of a subhumid region, northern Iran";"Ajami, M
   Heidari, A
   Khormali, F
   Gorji, M
   Ayoubi, S";"Soil organic carbon (SOC) storage is a basic measure used to study soil productivity, hydrology and the balance among greenhouse gases. Variation of SOC is controlled by environmental factors such as land use and topography. Toshan watershed located in northern Iran was selected to study the effects of different land uses i.e. forest (FO), cropland (CP), orchard (OR) and abandoned land (AB) on different slope gradients and aspects on SOC both in surface (0-30 cm) and subsurface (30-100 cm) layers. A total of 364 soil samples plus 1638 undisturbed ones were collected from two soil layers in 182 sampling sites. Results showed that the surface 30 cm soil layer was solely responsible for 54.8% of SOC density. On average, FO with 22.84 kg m(-2) had the highest SOC density in 0-100 cm layer. Deforestation and agricultural activities have resulted in a significant 48.2% decrease of SOC density in 0-30 cm soil layer. North facing slope (N) aspect and also flat area of all land uses had the higher SOC density compared to east (E) and west facing slope (W) aspects in this subhumid region in 0-100 cm layer. Generally, in the upper 100 cm soil layer of deforested lands, gentle and moderate slopes had higher SOC density than steeper slopes. There was a positive significant correlation between SOC density and clay content. The largest amount of SOC storage was observed in the surface 30 cm layer accounting for 74,907.94 Mg (54.4% of total SOC storage), indicating the important key role of topsoil in conserving SOC. FO with one-third proportion of the total area stored the largest amount of SOC (39,325.55 Mg; 52.5%) in surface layer. In conclusion, protection of forest lands is higher important to increase SOC storage. Agricultural activities on steep E and W aspects in deforested lands must be reduced or prohibited. The subsoil has almost the same contribution to SOC storage and therefore should be carefully considered for management measures. Generally, interaction between environmental factors on storing SOC and also rate of carbon loss to the atmosphere was significant. (C) 2016 Elsevier B.V. All rights reserved.";"0";"WOS:000381544000001";2016;"soc, grassland, stock, cropland, china";0.834501918809477;257
"Organic and inorganic contaminants removal from water with biochar, a
   renewable, low cost and sustainable adsorbent - A critical review";"Mohan, D
   Sarswat, A
   Ok, YS
   Pittman, CU";"Biochar is used for soil conditioning, remediation, carbon sequestration and water remediation. Biochar application to water and wastewater has never been reviewed previously. This review focuses on recent applications of biochars, produced from biomass pyrolysis (slow and fast), in water and wastewater treatment. Slow and fast pyrolysis biochar production is briefly discussed. The literature on sorption of organic and inorganic contaminants by biochars is surveyed and reviewed. Adsorption capacities for organic and inorganic contaminants by different biochars under different operating conditions are summarized and, where possible, compared. Mechanisms responsible for contaminant remediation are briefly discussed. Finally, a few recommendations for further research have been made in the area of biochar development for application to water filtration. (C) 2014 Elsevier Ltd. All rights reserved.";"202";"WOS:000335434400025";2014;"biochar, amend, pyrolysi, feedstock, incub";0.831558986477624;360
"The effect of young biochar on soil respiration";"Smith, JL
   Collins, HP
   Bailey, VL";"The low temperature pyrolysis of organic material produces biochar, a charcoal like substance. Biochar is being promoted as a soil amendment to enhance soil quality, it is also seen as a mechanism of long-term sequestration of carbon. Our experiments tested the hypothesis that biochar is inert in soil. However, we measured an increase in CO(2) production from soils after biochar amendment which increased with increasing rates of biochar. The partial derivative(13)C signature of the CO(2) evolved in the first several days of the incubation was the same as the partial derivative(13)C signature of the biochar, confirming that biochar contributed to the CO(2) flux. This effect diminished by day 6 of the incubation suggesting that most of the biochar C is slowly decomposing. Thus, aside from this short-term mineralization increasing soil C with young biochar may indeed be a long-term C storage mechanism. Published by Elsevier Ltd.";"159";"WOS:000284294600038";2010;"biochar, amend, pyrolysi, feedstock, incub";0.831334422009432;360
"Forestry projects under the clean development mechanism? Modelling of
   the uncertainties in carbon mitigation and related costs of plantation
   forestry projects";"Van Vliet, OPR
   Faaij, APC
   Dieperink, C";"Afforestation is considered an important option for mitigation of greenhouse gas emissions. Recently, plantation projects have been suggested for inclusion under the Clean Development Mechanism. While considered a cheap option, significant uncertainties make it difficult to determine the (net) carbon benefits and profitability of forestry projects. The current uncertainties about the regulatory framework of the CDM and the environmental and economic performance of plantation forestry could create uncertainties with respect to the additionality of such projects and thus their acceptance under the mechanism. Six plantation forestry projects that were proposed in Brazil have been used as cases to study sources of uncertainty for carbon benefits and economics for such projects. These cases vary widely in terms of productivity and products delivered. A quantitative model for calculating greenhouse gas balances and financial benefits and costs, taking a broad range of variables into account, was developed. Data from the developers of the proposed projects was used as main source material. Subsequently, scenario's were evaluated, containing different and realistic options for baseline vegetation, carbon crediting systems and CDM modalities, fluctuations in product prices, discount rates and carbon prices. The real cost of combined carbon sequestration and substitution for the case projects was below $3 per ton of carbon avoided, when based exclusively on data supplied by project developers. However, potential variations in carbon impact and costs based on scenario options were very large. Different baseline vegetation or adopting a different discount rate cause carbon credits to vary by as much as an order of magnitude. Different carbon crediting systems or fluctuations in (commodity) product prices cause variations up to 200% in carbon credits and NPV. This makes the additionality of such projects difficult to determine. Five of the six case projects seem uneligible for development under the CDM. A critical attitude towards the use of plantation projects under the CDM seems justified.";"12";"WOS:000186272100008";2003;"scenario, project, cost, price, forestri";0.828810849520227;158
"Algal biochar: effects and applications";"Bird, MI
   Wurster, CM
   Silva, PHD
   Paul, NA
   de Nys, R";"Algae represent a promising target for the generation of bioenergy through slow pyrolysis, leading to the production of biochar. This study reports experiments conducted on the production of freshwater and saltwater macroalgal biochar in pilot-scale quantities, the physical and chemical characteristics of the biochars, and their impact on plant growth. The biochars are low in carbon (C) content, surface area and cation exchange capacity, while being high in ash and nutrients. Trace element analysis demonstrates that macroalgal biochar produced from unpolluted water does not contain toxic trace elements in excess of levels mandated for unrestricted use as a biosolids amendment to soils. Pot trials conducted using a C and nutrient-poor soil, without and with additional fertilizer, demonstrate dramatic increases between 15 and 32 times, respectively, in plant growth rate for biochar treatments compared with the no biochar controls, with additional smaller increases when fertilizer was added. Pot trials conducted using a relatively fertile agricultural soil showed smaller but significant impacts of biochar amendment over the controls.";"29";"WOS:000297735100005";2012;"biochar, amend, pyrolysi, feedstock, incub";0.825507272640306;360
"Efficient energy systems with CO2 capture and storage from renewable
   biomass in pulp and paper mills";"Mollersten, K
   Gao, L
   Yan, JY
   Obersteiner, M";"This paper investigates the impact of combining CO2 capture and storage with alternative systems for biomass-based combined heat and power production (CHP) in Kraft pulp and paper mills. We compare heat, power, and CO2 balances of systems with alternative configurations of the CHP and CO2-capture systems. Because the captured CO2 comes from renewable biomass, the studied systems yield negative CO2 emissions. It is shown that pulp mills and integrated pulp and paper mills have the potential to become net exporters of biomass-based electricity while at the same time removing CO2 from the atmosphere on a net basis. The study shows that that the overall best CO2 abatement is achieved when CO2 capture is carried out within a biomass integrated gasifier with combined cycle where the syngas undergoes a CO-shift reaction. This configuration combines efficient energy conversion with a high CO2 capture efficiency. Furthermore, cost curves are constructed, which show how the cost of CO2 capture and storage in pulp and paper mills depends on system configuration and the CO2 transportation distance. (C) 2004 Elsevier Ltd. All rights reserved.";"37";"WOS:000221203800013";2004;"energi, technolog, captur, ccs, power";0.825483396819648;249
"Estimation of net gain of soil carbon in a nitrogen-fixing tree and crop
   intercropping system in sub-Saharan Africa: results from re-examining a
   study";"Kim, DG";"Nitrogen (N)-fixing tree and crop intercropping systems can be a sustainable agricultural practice in sub-Saharan Africa and can also contribute to resolving climate change through enhancing soil carbon (C) sequestration. A study conducted by Makumba et al. (Agric Ecosyst Environ 118:237-243, 2007) on the N-fixing tree gliricidia and maize intercropping system in southern Malawi provides a rare dataset of both sequestered soil C and C loss as soil carbon dioxide (CO2) emissions. However, no soil C gain and loss estimates were made so the study failed to show the net gain of soil C. Also absent from this study was potential benefit or negative impact related to the other greenhouse gas, nitrous oxide (N2O) and methane (CH4) emissions from the intercropping system. Using the data provided in Makumba et al. (Agric Ecosyst Environ 118:237-243, 2007) a C loss as soil CO2 emissions (51.2 +/- A 0.4 Mg C ha(-1)) was estimated, amounting to 67.4% of the sequestered soil C (76 +/- A 8.6 Mg C ha(-1) in 0-2 m soil depth) for the first 7 years in the intercropping system. An annual net gain of soil C of 3.5 Mg C ha(-1) year(-1) was estimated from soil C sequestered and lost. Inclusion of the potential for N2O mitigation [0.12-1.97 kg N2O-N ha(-1) year(-1), 0.036-0.59 Mg CO2 equivalents (eq.) ha(-1) year(-1)] within this intercropping system mitigation as CO2 eq. basis was estimated to be 3.5-4.1 Mg CO2 eq. ha(-1) year(-1). These results suggest that reducing N2O emission can significantly increase the overall mitigation benefit from the intercropping system. However, significant uncertainties are associated with estimating the effect of intercropping on soil N2O and CH4 emissions. These results stress the importance of including consideration of quantifying soil CO2, N2O and CH4 emissions when quantifying the C sequestration potential in intercropping system.";"6";"WOS:000309670200006";2012;"ha1, n2o, yr1, pastur, flux";0.82107010373902;104
"Ecosystem Impacts of Geoengineering: A Review for Developing a Science
   Plan";"Russell, LM
   Rasch, PJ
   Mace, GM
   Jackson, RB
   Shepherd, J
   Liss, P
   Leinen, M
   Schimel, D
   Vaughan, NE
   Janetos, AC
   Boyd, PW
   Norby, RJ
   Caldeira, K
   Merikanto, J
   Artaxo, P
   Melillo, J
   Morgan, MG";"Geoengineering methods are intended to reduce climate change, which is already having demonstrable effects on ecosystem structure and functioning in some regions. Two types of geoengineering activities that have been proposed are: carbon dioxide (CO2) removal (CDR), which removes CO2 from the atmosphere, and solar radiation management (SRM, or sunlight reflection methods), which reflects a small percentage of sunlight back into space to offset warming from greenhouse gases (GHGs). Current research suggests that SRM or CDR might diminish the impacts of climate change on ecosystems by reducing changes in temperature and precipitation. However, sudden cessation of SRM would exacerbate the climate effects on ecosystems, and some CDR might interfere with oceanic and terrestrial ecosystem processes. The many risks and uncertainties associated with these new kinds of purposeful perturbations to the Earth system are not well understood and require cautious and comprehensive research.";"22";"WOS:000304617700004";2012;"optim, terrestri, radiat, forc, centuri";0.82047341632373;114
"Dynamic forest biomass carbon pools in China and their significance";"Fang, JY
   Chen, AP";"An improved biomass estimation method that converts timber volume to total forest biomass was used to estimate forest biomass carbon storage and its changes over to the past 50 years in China, by using inventory data of seven periods from 1949 to 1998 and forest biomass data obtained from direct field measurements. By the mid-1970s, forest carbon decreased by 0.62 Pg C (Pg = 10(15) g), with a decreasing rate of 0.024 Pg C per year. Since then the biomass carbon showed a significant increase, from 4.38 Pg C by the end of 1970s to 4.75 Pg C by 1998, with an increasing rate of 0.022 Pg C per year, due mainly to the increased reforestation and afforestation. During the last two decades, planted forests have sequestered 0.45 Pg of carbon, with an annual rate of 0.021 Pg C. The average carbon density of plantations showed a significant increase from 15.3 Mg/hm(2) in the mid-1970 to 31.1 Mg/hm(2) in 1998, suggesting that the rising global temperature and CO2 fertilization may enhance this increasing uptake as well as expansion of planted forests.";"57";"WOS:000171380800014";2001;"forest, reforest, china, tropic, deforest";0.819699297483142;225
"Soil organic carbon sequestration in relation to revegetation on the
   Loess Plateau, China";"Cheng, M
   Xue, ZJ
   Xiang, Y
   Darboux, F
   An, SS";"Background and aims Estimating the distribution of soil organic carbon (SOC) is essential for improving SOC sequestration. Our objectives were (1) to quantify the dependency of SOC stocks on vegetation type; (2) to identify in which aggregate sizes and chemical forms the SOC was stored; and (3) to determine which vegetation type was the most effective at sequestering SOC. Methods The studied vegetation types were shrubland CK16 (16-year-old Caragana korshinskii Kom.), shrubland CK26 (26-year-old C. korshinskii Kom.), shrubland AS (Armeniaca sibirica Lam.), natural grassland and artificial pasture. We investigated SOC stocks and measured soil carbon, in < 0.25, 0.25-1, 1-2, 2-5 and 5-8 mm sized aggregates, and carbon fractions [humus (HS-C), humic acid (HA-C), fulvic acid (FA-C)] from CK shrublands, natural grassland and cropland. Results The SOC stocks were the greatest for CK shrublands and natural grassland. Compared with cropland, shrubland CK caused increases in > 2 mm sized aggregate C stocks. The 1-2, 2-5, 5-8 mm size aggregate C stocks were the highest in the natural grassland. HS-C was 1.4, 3.1, and 4.1 Mg ha(-1) greater in shrubland CK16, shrubland CK26, and natural grassland, respectively, than in cropland.
   Conclusions Conversion to C. korshinskii shrublands and protection of natural grassland should be promoted to improve the contribution of vegetation to SOC sequestration.";"0";"WOS:000367684200003";2015;"soc, grassland, stock, cropland, china";0.819659189957998;257
"Carbon carry capacity and carbon sequestration potential in China based
   on an integrated analysis of mature forest biomass";"Liu, YC
   Yu, GR
   Wang, QF
   Zhang, YJ
   Xu, ZH";"Forests play an important role in acting as a carbon sink of terrestrial ecosystem. Although global forests have huge carbon carrying capacity (CCC) and carbon sequestration potential (CSP), there were few quantification reports on Chinese forests. We collected and compiled a forest biomass dataset of China, a total of 5841 sites, based on forest inventory and literature search results. From the dataset we extracted 338 sites with forests aged over 80 years, a threshold for defining mature forest, to establish the mature forest biomass dataset. After analyzing the spatial pattern of the carbon density of Chinese mature forests and its controlling factors, we used carbon density of mature forests as the reference level, and conservatively estimated the CCC of the forests in China by interpolation methods of Regression Kriging, Inverse Distance Weighted and Partial Thin Plate Smoothing Spline. Combining with the sixth National Forest Resources Inventory, we also estimated the forest CSP. The results revealed positive relationships between carbon density of mature forests and temperature, precipitation and stand age, and the horizontal and elevational patterns of carbon density of mature forests can be well predicted by temperature and precipitation. The total CCC and CSP of the existing forests are 19.87 and 13.86 Pg C, respectively. Subtropical forests would have more CCC and CSP than other biomes. Consequently, relying on forests to uptake carbon by decreasing disturbance on forests would be an alternative approach for mitigating greenhouse gas concentration effects besides afforestation and reforestation.";"3";"WOS:000346187000010";2014;"forest, reforest, china, tropic, deforest";0.816169157015745;225
"Seagrass Ecosystem Services and Their Variability across Genera and
   Geographical Regions";"Nordlund, LM
   Koch, EW
   Barbier, EB
   Creed, JC";"Threats to and loss of seagrass ecosystems globally, impact not only natural resources but also the lives of people who directly or indirectly depend on these systems. Seagrass ecosystems play a multi-functional role in human well-being, e. g. food through fisheries, control of erosion and protection against floods. Quantifying these services reveals their contributions to human well-being and helps justify seagrass conservation. There has been no comprehensive assessment as to whether seagrass ecosystem services are perceived to vary over the globe or amongst genera. Our study compiles the most complete list of ecosystem services provided by seagrasses so far, including bioregional-and genus-specific information from expert opinion and published studies. Several seagrass ecosystem services vary considerably in their (known) provision across genera and over the globe. Seagrasses genera are clearly not all equal with regard to the ecosystem services they provide. As seagrass genera are not evenly distributed over all bioregions, the presence of an ecosystem service sometimes depends on the genera present. Larger sized seagrass genera (e. g. Posidonia, Enhalus) are perceived to provide more substantial and a wider variety of ecosystem services than smaller species (e. g. Halophila, Lepilaena). Nevertheless, smaller species provide important services. Our findings point out data gaps, provide new insight for more efficient management and recommend caution in economic valuation of seagrass services worldwide.";"1";"WOS:000385505300009";2016;"servic, restor, mangrov, coastal, habitat";0.81201937269642;133
"Can 'negative net CO2 emissions' from decarbonised biogas-to-electricity
   contribute to solving Poland's carbon capture and sequestration
   dilemmas?";"Budzianowski, WM";"The article analyses to what extent 'negative net CO2 emissions' from decarbonised biogas-to-electricity can contribute to solving Poland's carbon capture and sequestration dilemmas. From the criteria-based evaluation of low-carbon power technologies it is found, that biogas-to-electricity is among technologies having increasing production potential in Poland. Therefore, in future biogas will be able to contribute to solving Poland's CCS dilemmas, because it offers carbon-neutral electricity. Moreover, by applying CCS into biogas-to-electricity the 'negative net CO2 emissions' can be achieved. The article examines three biogas-to-electricity technologies involving CO2 capture, i.e. biogas-to-biomethane, biogas-to-CHP and biogas-to-electricity via the ORFC cycle. It is emphasised that the ORFC cycle offers low-cost CO2 separation from a CO2-H-2 mixture, low O-2-intensity, and the opportunities for advanced mass and energy integration of involved processes. Besides, energy conversion calculations show that the ORFC cycle can offer comparable cycle efficiency with air- and oxy-combustion combined cycles. In regard to the design of biogas-based energy systems it is recommended to include (i) distributed production of biogas in order to avoid costs of long-distance transportation of high-moisture content biomass and (ii) centralised large-scale decarbonised biogas-to-electricity power plants since costs of pipeline transportation of gases are low but large-scale plants could benefit from increased energy and CCS efficiencies. (C) 2011 Elsevier Ltd. All rights reserved.";"41";"WOS:000297894500004";2011;"energi, technolog, captur, ccs, power";0.80982016783793;249
"International and national aspects of a legislative framework to manage
   soil carbon sequestration";"Hannam, I";"This article discusses the international and national environmental law framework for the management of soil carbon sequestration. Aspects of the legislative framework important to this process include its ability to recognise carbon sinks, expand existing sinks, and the procedures available to return and store carbon in soil reservoirs. International law provides global standards and guidelines and national legislative systems provide the substantive and procedural legal mechanisms to manage soil carbon. The United Nations Framework Convention on Climate Change and the Kyoto Protocol are the primary international legislative instruments but other international instruments and strategies have a significant synergistic role. Various approaches are presented for framing new legislation or to reform existing legislative frameworks to improve the procedures to manage soil carbon.";"3";"WOS:000223361500009";2004;"polici, market, protocol, kyoto, intern";0.808851800715567;163
